Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
逸昌,3567-TW,63.88888888888889,98.83611500000006,14,35.714285714285715,2.848529299970491,0.2219849497074586,2010-11-22,2025-09-30,"B[1,7,59]S[1,7]"
亞泰金屬,6727-TW,173.71695178849146,123.40334,5,20.0,0.8502475892456538,0.4666378532805499,2020-12-01,2025-09-30,"B[1,7,59]S[1,7]"
松和,5016-TW,106.55737704918032,25.71469999999998,11,36.36363636363637,2.1497093259471383,0.1033793941467639,2001-03-05,2025-09-30,"B[1,7,59]S[1,7]"
榮昌,3684-TW,-15.045045045045049,12.446549999999975,9,55.55555555555556,1.7967379631464004,0.0515098825920369,2014-03-28,2025-09-30,"B[1,7,59]S[1,7]"
達邦蛋白,6578-TW,-15.492957746478876,-4.4050099999999865,5,40.0,0.7601176236552533,-0.0307476865920806,2018-09-18,2025-09-30,"B[1,7,59]S[1,7]"
華盈,3520-TW,-47.66666666666667,21.965309999999945,10,50.0,1.6478035650723124,0.0470951937036079,2007-10-12,2025-09-30,"B[1,7,59]S[1,7]"
科風,3043-TW,-65.59701492537314,-72.849288,12,25.0,0.4242419936827324,-0.2619100040327485,2001-03-29,2025-09-30,"B[1,7,59]S[1,7]"
富野,2736-TW,-65.31531531531532,20.883425,6,50.0,1.7322603613939014,0.0731985431351619,2016-01-06,2025-09-30,"B[1,7,59]S[1,7]"
淳紳,4529-TW,-72.90322580645162,-33.414019999999994,10,20.0,1.0423355179288971,-0.0772275740452906,2001-05-04,2025-09-30,"B[1,7,59]S[1,7]"
寶得利,5301-TW,-63.68055555555555,-13.180731000000028,8,37.5,1.0642563469922852,-0.030246228562868,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
穎漢,4562-TW,-2.558398220244729,253.431,7,28.57142857142857,11.603552394077605,0.4737833516707433,2017-08-21,2025-09-30,"B[1,7,59]S[1,7]"
科懋,6496-TW,-67.98913043478261,-44.73381499999999,9,22.22222222222222,0.3717892834296748,-0.3911131818307966,2016-01-07,2025-09-30,"B[1,7,59]S[1,7]"
順發,6154-TW,-81.88311688311688,-12.333040000000024,10,50.0,0.6833713232345182,-0.0577928020097835,2002-02-18,2025-09-30,"B[1,7,59]S[1,7]"
佳大,2033-TW,23.72881355932203,63.38961599999997,15,40.0,1.8286580994944528,0.1034396714119718,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
凱羿-KY,2939-TW,-87.47619047619047,-46.665419999999976,10,20.0,0.2854436088694915,-0.4002753729952529,2018-01-11,2025-09-30,"B[1,7,59]S[1,7]"
中湛,6236-TW,94.375,-16.590209999999963,6,16.666666666666664,0.1684819512995416,-0.059834719410114,2003-03-31,2025-09-30,"B[1,7,59]S[1,7]"
聯穎,3550-TW,-50.3257328990228,58.14100999999996,9,55.55555555555556,2.108002893019873,0.1532112623742232,2010-11-10,2025-09-30,"B[1,7,59]S[1,7]"
集雅社,2937-TW,52.992957746478886,83.50166499999999,8,62.5,7.036966716242708,0.370164211091166,2017-06-08,2025-09-30,"B[1,7,59]S[1,7]"
毛寶,1732-TW,-2.7687296416938043,3.526635000000056,11,27.27272727272727,1.7438445959763873,0.0068971966280646,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
昱捷,3232-TW,61.87499999999999,-50.21335000000001,16,25.0,0.4207253318013585,-0.1489889319588715,2004-11-01,2025-09-30,"B[1,7,59]S[1,7]"
光鼎,6226-TW,-74.62365591397851,-10.10724700000001,11,27.27272727272727,1.0363601798498248,-0.0314263472174563,2003-01-14,2025-09-30,"B[1,7,59]S[1,7]"
杏國,4192-TW,-59.84308131241084,-25.385974999999966,10,20.0,1.0402257420079173,-0.1180006567154496,2014-10-28,2025-09-30,"B[1,7,59]S[1,7]"
國碳科,4754-TW,-41.21212121212122,-12.71324500000003,7,42.85714285714285,0.8172075151343231,-0.0865055390312245,2016-09-29,2025-09-30,"B[1,7,59]S[1,7]"
寶緯,4558-TW,-40.410958904109584,-12.336684999999989,1,0.0,0.0,-0.315183864629748,2022-03-17,2025-09-30,"B[1,7,59]S[1,7]"
昇銳,3128-TW,2.2580645161290303,-43.98613000000002,17,17.647058823529413,0.8576743262118044,-0.136915275695004,2006-09-04,2025-09-30,"B[1,7,59]S[1,7]"
弘煜科,6482-TW,-29.35103244837758,2.457390000000014,1,100.0,10.0,0.019461426084328,2016-06-13,2025-09-30,"B[1,7,59]S[1,7]"
上亞科技,6130-TW,33.80062305295951,-70.54675499999998,12,8.333333333333332,0.3391643523665034,-0.3502456529092868,2002-03-26,2025-09-30,"B[1,7,59]S[1,7]"
兆勁,2444-TW,-88.2587064676617,95.86836000000002,11,45.45454545454545,3.377129614909528,0.1579906066395288,2000-12-08,2025-09-30,"B[1,7,59]S[1,7]"
白紗科,8401-TW,-9.047619047619053,40.06420999999996,12,33.33333333333333,2.328656598923102,0.1249867092202952,2010-03-29,2025-09-30,"B[1,7,59]S[1,7]"
地球,1324-TW,-56.77290836653387,7.113191000000015,16,25.0,1.387878487707496,0.0236019589973331,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
台火,9902-TW,30.578512396694222,-20.492668999999992,11,18.181818181818183,0.843332987293719,-0.06526651557123,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
統懋,2434-TW,-31.96347031963469,-24.35415300000001,16,37.5,0.6553839875500171,-0.0771379464821116,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
冠好,8354-TW,-52.17391304347826,35.80593499999999,9,44.44444444444444,4.067854415522573,0.1880776748000591,2004-04-15,2025-09-30,"B[1,7,59]S[1,7]"
力肯,1570-TW,-46.66666666666666,73.69137999999998,11,36.36363636363637,2.799136816944899,0.1473003713114547,2005-06-30,2025-09-30,"B[1,7,59]S[1,7]"
宏旭-KY,2243-TW,-66.2873399715505,-70.58828599999998,7,14.285714285714285,0.1567793801246229,-0.8389075649689357,2017-09-27,2025-09-30,"B[1,7,59]S[1,7]"
環天科,3499-TW,-89.09420289855072,-0.5985699999999721,14,35.714285714285715,1.260692600599388,-0.0013301401434431,2006-10-19,2025-09-30,"B[1,7,59]S[1,7]"
淘帝-KY,2929-TW,-95.63120567375886,-75.53512999999998,12,16.666666666666664,0.0176925459372705,-0.7113816089893235,2013-12-30,2025-09-30,"B[1,7,59]S[1,7]"
喬鼎,3057-TW,-87.31972789115648,-55.66277000000001,11,18.181818181818183,0.093266970837,-0.237152144910467,2002-12-18,2025-09-24,"B[1,7,59]S[1,7]"
